DATASET,FECHA,HORA,AIRQ_CO,AIRQ_NO2
DATASET_01_2009_2017_CE,19/10/2009,22,0.84,59
DATASET_01_2009_2017_CE,19/10/2009,23,0.95,57
DATASET_01_2009_2017_CE,19/10/2009,24,1.04,55
DATASET_01_2009_2017_CE,20/10/2009,1,1.13,50
DATASET_01_2009_2017_CE,20/10/2009,2,1.16,44
DATASET_01_2009_2017_CE,20/10/2009,3,1.15,39
DATASET_01_2009_2017_CE,20/10/2009,4,1.1,38
DATASET_01_2009_2017_CE,20/10/2009,5,1.08,41
DATASET_01_2009_2017_CE,20/10/2009,6,0.98,42
DATASET_01_2009_2017_CE,20/10/2009,7,0.94,47
DATASET_01_2009_2017_CE,20/10/2009,8,0.99,56
DATASET_01_2009_2017_CE,20/10/2009,9,1.03,60
DATASET_01_2009_2017_CE,20/10/2009,10,1.05,57
DATASET_01_2009_2017_CE,20/10/2009,11,1.1,53
DATASET_01_2009_2017_CE,20/10/2009,12,1.14,62
DATASET_01_2009_2017_CE,20/10/2009,13,1.18,65
DATASET_01_2009_2017_CE,20/10/2009,14,1.16,41
DATASET_01_2009_2017_CE,20/10/2009,15,1.11,53
DATASET_01_2009_2017_CE,20/10/2009,16,1.03,70
DATASET_01_2009_2017_CE,20/10/2009,17,0.99,78
DATASET_01_2009_2017_CE,20/10/2009,18,0.99,63
DATASET_01_2009_2017_CE,20/10/2009,19,0.98,45
DATASET_01_2009_2017_CE,20/10/2009,20,0.94,38
DATASET_01_2009_2017_CE,20/10/2009,21,0.9,36
DATASET_01_2009_2017_CE,20/10/2009,22,0.9,40
DATASET_01_2009_2017_CE,20/10/2009,23,0.89,42
DATASET_01_2009_2017_CE,20/10/2009,24,0.84,40
DATASET_01_2009_2017_CE,21/10/2009,1,0.74,33
DATASET_01_2009_2017_CE,21/10/2009,2,0.65,29
DATASET_01_2009_2017_CE,21/10/2009,3,0.58,21
DATASET_01_2009_2017_CE,21/10/2009,4,0.53,21
DATASET_01_2009_2017_CE,21/10/2009,5,0.48,20
DATASET_01_2009_2017_CE,21/10/2009,6,0.43,20
DATASET_01_2009_2017_CE,21/10/2009,7,0.39,30
DATASET_01_2009_2017_CE,21/10/2009,8,0.36,34
DATASET_01_2009_2017_CE,21/10/2009,9,0.33,35
DATASET_01_2009_2017_CE,21/10/2009,10,0.43, 
DATASET_01_2009_2017_CE,21/10/2009,11,0.48, 
DATASET_01_2009_2017_CE,21/10/2009,12,0.53, 
DATASET_01_2009_2017_CE,21/10/2009,13,0.57,4
DATASET_01_2009_2017_CE,21/10/2009,14,0.58,10
DATASET_01_2009_2017_CE,21/10/2009,15,0.6,35
DATASET_01_2009_2017_CE,21/10/2009,16,0.59,32
DATASET_01_2009_2017_CE,21/10/2009,17,0.59,35
DATASET_01_2009_2017_CE,21/10/2009,18,0.55,43
DATASET_01_2009_2017_CE,21/10/2009,19,0.58,42
DATASET_01_2009_2017_CE,21/10/2009,20,0.6,41
DATASET_01_2009_2017_CE,21/10/2009,21,0.64,42
DATASET_01_2009_2017_CE,21/10/2009,22,0.71,45
DATASET_01_2009_2017_CE,21/10/2009,23,0.76,44
DATASET_01_2009_2017_CE,21/10/2009,24,0.83,43
DATASET_01_2009_2017_CE,22/10/2009,1,0.89,39
DATASET_01_2009_2017_CE,22/10/2009,2,0.93,38
DATASET_01_2009_2017_CE,22/10/2009,3,0.9,32
DATASET_01_2009_2017_CE,22/10/2009,4,0.83,16
DATASET_01_2009_2017_CE,22/10/2009,5,0.75,15
DATASET_01_2009_2017_CE,22/10/2009,6,0.66,27
DATASET_01_2009_2017_CE,22/10/2009,7,0.68,39
DATASET_01_2009_2017_CE,22/10/2009,8,0.64,40
DATASET_01_2009_2017_CE,22/10/2009,9,0.58,35
DATASET_01_2009_2017_CE,22/10/2009,10,0.51,42
DATASET_01_2009_2017_CE,22/10/2009,11,0.49,26
DATASET_01_2009_2017_CE,22/10/2009,12,0.51,21
DATASET_01_2009_2017_CE,22/10/2009,13,0.53,20
DATASET_01_2009_2017_CE,22/10/2009,14,0.53,21
DATASET_01_2009_2017_CE,22/10/2009,15,0.45,20
DATASET_01_2009_2017_CE,22/10/2009,16,0.4,22
DATASET_01_2009_2017_CE,22/10/2009,17,0.38,24
DATASET_01_2009_2017_CE,22/10/2009,18,0.39,36
DATASET_01_2009_2017_CE,22/10/2009,19,0.44,43
DATASET_01_2009_2017_CE,22/10/2009,20,0.51,44
DATASET_01_2009_2017_CE,22/10/2009,21,0.59,41
DATASET_01_2009_2017_CE,22/10/2009,22,0.66,42
DATASET_01_2009_2017_CE,22/10/2009,23,0.71,36
DATASET_01_2009_2017_CE,22/10/2009,24,0.74,27
DATASET_01_2009_2017_CE,23/10/2009,1,0.74,23
DATASET_01_2009_2017_CE,23/10/2009,2,0.69,17
DATASET_01_2009_2017_CE,23/10/2009,3,0.61,11
DATASET_01_2009_2017_CE,23/10/2009,4,0.5,10
DATASET_01_2009_2017_CE,23/10/2009,5,0.4,9
DATASET_01_2009_2017_CE,23/10/2009,6,0.3,12
DATASET_01_2009_2017_CE,23/10/2009,7,0.24,21
DATASET_01_2009_2017_CE,23/10/2009,8,0.24,26
DATASET_01_2009_2017_CE,23/10/2009,9,0.28,27
DATASET_01_2009_2017_CE,23/10/2009,10,0.33,29
DATASET_01_2009_2017_CE,23/10/2009,11,0.36,25
DATASET_01_2009_2017_CE,23/10/2009,12,0.43,32
DATASET_01_2009_2017_CE,26/10/2009,1,0.71,23
DATASET_01_2009_2017_CE,26/10/2009,2,0.69,11
DATASET_01_2009_2017_CE,26/10/2009,3,0.65,15
DATASET_01_2009_2017_CE,26/10/2009,4,0.58,8
DATASET_01_2009_2017_CE,26/10/2009,5,0.44,14
DATASET_01_2009_2017_CE,26/10/2009,6,0.31,19
DATASET_01_2009_2017_CE,26/10/2009,7,0.23,30
DATASET_01_2009_2017_CE,26/10/2009,8,0.19,29
DATASET_01_2009_2017_CE,26/10/2009,9,0.23,29
DATASET_01_2009_2017_CE,26/10/2009,10,0.28,27
DATASET_01_2009_2017_CE,26/10/2009,11,0.31,31
DATASET_01_2009_2017_CE,26/10/2009,12,0.35,25
DATASET_01_2009_2017_CE,26/10/2009,13,0.39,25
DATASET_01_2009_2017_CE,26/10/2009,14,0.43,26
DATASET_01_2009_2017_CE,26/10/2009,15,0.45,27
DATASET_01_2009_2017_CE,26/10/2009,16,0.45,24
DATASET_01_2009_2017_CE,26/10/2009,17,0.41,21
DATASET_01_2009_2017_CE,26/10/2009,18,0.4,23
DATASET_01_2009_2017_CE,26/10/2009,19,0.41,24
DATASET_01_2009_2017_CE,26/10/2009,20,0.44,27
DATASET_01_2009_2017_CE,26/10/2009,21,0.46,29
DATASET_01_2009_2017_CE,26/10/2009,22,0.49,29
DATASET_01_2009_2017_CE,26/10/2009,23,0.5,28
DATASET_01_2009_2017_CE,26/10/2009,24,0.49,23
DATASET_01_2009_2017_CE,27/10/2009,1,0.46,25
DATASET_01_2009_2017_CE,27/10/2009,2,0.44,26
DATASET_01_2009_2017_CE,27/10/2009,3,0.39,19
DATASET_01_2009_2017_CE,27/10/2009,4,0.33,6
DATASET_01_2009_2017_CE,27/10/2009,5,0.26,5
DATASET_01_2009_2017_CE,27/10/2009,6,0.2,9
DATASET_01_2009_2017_CE,27/10/2009,7,0.16,14
DATASET_01_2009_2017_CE,27/10/2009,8,0.16,18
DATASET_01_2009_2017_CE,27/10/2009,9,0.19,19
DATASET_01_2009_2017_CE,27/10/2009,10,0.21,17
DATASET_01_2009_2017_CE,27/10/2009,11,0.25,18
DATASET_01_2009_2017_CE,27/10/2009,12,0.3,20
DATASET_01_2009_2017_CE,27/10/2009,13,0.34,20
DATASET_01_2009_2017_CE,27/10/2009,14,0.38,19
DATASET_01_2009_2017_CE,27/10/2009,15,0.4,19
DATASET_01_2009_2017_CE,27/10/2009,16,0.41,19
DATASET_01_2009_2017_CE,27/10/2009,17,0.41,23
DATASET_01_2009_2017_CE,27/10/2009,18,0.43,26
DATASET_01_2009_2017_CE,27/10/2009,19,0.46,36
DATASET_01_2009_2017_CE,27/10/2009,20,0.53,39
DATASET_01_2009_2017_CE,27/10/2009,21,0.6,35
DATASET_01_2009_2017_CE,27/10/2009,22,0.64,31
DATASET_01_2009_2017_CE,27/10/2009,23,0.65,29
DATASET_01_2009_2017_CE,27/10/2009,24,0.65,23
DATASET_01_2009_2017_CE,28/10/2009,1,0.64,22
DATASET_01_2009_2017_CE,28/10/2009,2,0.61,16
