DATASET,FECHA,HORA,AIRQ_CO,AIRQ_NO2
DATASET_01_2009_2017_PA,14/10/2009,10,0.49, 
DATASET_01_2009_2017_PA,14/10/2009,11,0.66, 
DATASET_01_2009_2017_PA,14/10/2009,12,0.8, 
DATASET_01_2009_2017_PA,14/10/2009,13,0.9, 
DATASET_01_2009_2017_PA,14/10/2009,14,0.98, 
DATASET_01_2009_2017_PA,14/10/2009,15,1.03, 
DATASET_01_2009_2017_PA,14/10/2009,16,1.06, 
DATASET_01_2009_2017_PA,14/10/2009,17,1.06, 
DATASET_01_2009_2017_PA,14/10/2009,18,1, 
DATASET_01_2009_2017_PA,14/10/2009,19,0.88, 
DATASET_01_2009_2017_PA,14/10/2009,20,0.8, 
DATASET_01_2009_2017_PA,14/10/2009,21,0.81, 
DATASET_01_2009_2017_PA,14/10/2009,22,0.84, 
DATASET_01_2009_2017_PA,14/10/2009,23,0.88, 
DATASET_01_2009_2017_PA,14/10/2009,24,0.9, 
DATASET_01_2009_2017_PA,15/10/2009,1,0.9, 
DATASET_01_2009_2017_PA,15/10/2009,2,0.91, 
DATASET_01_2009_2017_PA,15/10/2009,3,0.93, 
DATASET_01_2009_2017_PA,15/10/2009,4,0.91, 
DATASET_01_2009_2017_PA,15/10/2009,5,0.85, 
DATASET_01_2009_2017_PA,15/10/2009,6,0.78, 
DATASET_01_2009_2017_PA,15/10/2009,7,0.7, 
DATASET_01_2009_2017_PA,15/10/2009,8,0.64, 
DATASET_01_2009_2017_PA,15/10/2009,9,0.61, 
DATASET_01_2009_2017_PA,15/10/2009,10,0.64, 
DATASET_01_2009_2017_PA,15/10/2009,11,0.75, 
DATASET_01_2009_2017_PA,15/10/2009,12,0.91, 
DATASET_01_2009_2017_PA,15/10/2009,13,1.14, 
DATASET_01_2009_2017_PA,15/10/2009,14,1.38, 
DATASET_01_2009_2017_PA,15/10/2009,15,1.59, 
DATASET_01_2009_2017_PA,15/10/2009,16,1.88, 
DATASET_01_2009_2017_PA,15/10/2009,17,2.04, 
DATASET_01_2009_2017_PA,15/10/2009,18,2.06, 
DATASET_01_2009_2017_PA,15/10/2009,19,1.99, 
DATASET_01_2009_2017_PA,15/10/2009,20,1.88, 
DATASET_01_2009_2017_PA,15/10/2009,21,1.71, 
DATASET_01_2009_2017_PA,15/10/2009,22,1.56, 
DATASET_01_2009_2017_PA,15/10/2009,23,1.45, 
DATASET_01_2009_2017_PA,15/10/2009,24,1.23, 
DATASET_01_2009_2017_PA,16/10/2009,1,1.1, 
DATASET_01_2009_2017_PA,16/10/2009,2,1.05, 
DATASET_01_2009_2017_PA,16/10/2009,3,0.99, 
DATASET_01_2009_2017_PA,16/10/2009,4,0.91, 
DATASET_01_2009_2017_PA,16/10/2009,5,0.83, 
DATASET_01_2009_2017_PA,16/10/2009,6,0.71, 
DATASET_01_2009_2017_PA,16/10/2009,7,0.6, 
DATASET_01_2009_2017_PA,16/10/2009,8,0.51, 
