DATASET,FECHA,HORA,AIRQ_CO,AIRQ_NO2
DATASET_01_2009_2017_CO,22/10/2009,23, ,31
DATASET_01_2009_2017_CO,22/10/2009,24, ,27
DATASET_01_2009_2017_CO,23/10/2009,1, ,32
DATASET_01_2009_2017_CO,23/10/2009,2, ,20
DATASET_01_2009_2017_CO,23/10/2009,3, ,13
DATASET_01_2009_2017_CO,23/10/2009,4, ,8
DATASET_01_2009_2017_CO,23/10/2009,5, ,8
DATASET_01_2009_2017_CO,23/10/2009,6, ,11
DATASET_01_2009_2017_CO,23/10/2009,7, ,16
DATASET_01_2009_2017_CO,23/10/2009,8, ,20
DATASET_01_2009_2017_CO,23/10/2009,9, ,19
DATASET_01_2009_2017_CO,23/10/2009,10, ,24
DATASET_01_2009_2017_CO,23/10/2009,11, ,21
DATASET_01_2009_2017_CO,23/10/2009,12, ,25
DATASET_01_2009_2017_CO,26/10/2009,1, ,22
DATASET_01_2009_2017_CO,26/10/2009,2, ,21
DATASET_01_2009_2017_CO,26/10/2009,3, ,20
DATASET_01_2009_2017_CO,26/10/2009,4, ,22
DATASET_01_2009_2017_CO,26/10/2009,5, ,26
DATASET_01_2009_2017_CO,26/10/2009,6, ,33
DATASET_01_2009_2017_CO,26/10/2009,7, ,39
DATASET_01_2009_2017_CO,26/10/2009,8, ,40
DATASET_01_2009_2017_CO,26/10/2009,9, ,44
DATASET_01_2009_2017_CO,26/10/2009,10, ,44
DATASET_01_2009_2017_CO,26/10/2009,11, ,44
DATASET_01_2009_2017_CO,26/10/2009,12, ,37
DATASET_01_2009_2017_CO,26/10/2009,13, ,37
DATASET_01_2009_2017_CO,26/10/2009,14, ,36
DATASET_01_2009_2017_CO,26/10/2009,15, ,32
DATASET_01_2009_2017_CO,26/10/2009,16, ,32
DATASET_01_2009_2017_CO,26/10/2009,17, ,30
DATASET_01_2009_2017_CO,26/10/2009,18, ,33
DATASET_01_2009_2017_CO,26/10/2009,19, ,32
DATASET_01_2009_2017_CO,26/10/2009,20, ,34
DATASET_01_2009_2017_CO,26/10/2009,21, ,30
DATASET_01_2009_2017_CO,26/10/2009,22, ,29
DATASET_01_2009_2017_CO,26/10/2009,23, ,29
DATASET_01_2009_2017_CO,26/10/2009,24, ,20
DATASET_01_2009_2017_CO,27/10/2009,1, ,19
DATASET_01_2009_2017_CO,27/10/2009,2, ,14
DATASET_01_2009_2017_CO,27/10/2009,3, ,12
DATASET_01_2009_2017_CO,27/10/2009,4, ,12
DATASET_01_2009_2017_CO,27/10/2009,5, ,15
DATASET_01_2009_2017_CO,27/10/2009,6, ,21
DATASET_01_2009_2017_CO,27/10/2009,7, ,21
DATASET_01_2009_2017_CO,27/10/2009,8, ,18
DATASET_01_2009_2017_CO,27/10/2009,9, ,16
DATASET_01_2009_2017_CO,27/10/2009,10, ,17
DATASET_01_2009_2017_CO,27/10/2009,11, ,15
DATASET_01_2009_2017_CO,27/10/2009,12, ,19
DATASET_01_2009_2017_CO,27/10/2009,13, ,20
DATASET_01_2009_2017_CO,27/10/2009,14, ,17
DATASET_01_2009_2017_CO,27/10/2009,15, ,22
DATASET_01_2009_2017_CO,27/10/2009,16, ,24
DATASET_01_2009_2017_CO,27/10/2009,17, ,33
DATASET_01_2009_2017_CO,27/10/2009,18, ,34
DATASET_01_2009_2017_CO,27/10/2009,19, ,35
DATASET_01_2009_2017_CO,27/10/2009,20, ,35
DATASET_01_2009_2017_CO,27/10/2009,21, ,32
DATASET_01_2009_2017_CO,27/10/2009,22, ,29
DATASET_01_2009_2017_CO,27/10/2009,23, ,29
DATASET_01_2009_2017_CO,27/10/2009,24, ,21
DATASET_01_2009_2017_CO,28/10/2009,1, ,13
DATASET_01_2009_2017_CO,28/10/2009,2, ,10
DATASET_01_2009_2017_CO,28/10/2009,3, ,12
DATASET_01_2009_2017_CO,28/10/2009,4, ,14
DATASET_01_2009_2017_CO,28/10/2009,5, ,19
DATASET_01_2009_2017_CO,28/10/2009,6, ,24
DATASET_01_2009_2017_CO,28/10/2009,7, , 
DATASET_01_2009_2017_CO,28/10/2009,8, , 
DATASET_01_2009_2017_CO,28/10/2009,9, ,24
DATASET_01_2009_2017_CO,28/10/2009,10, ,21
DATASET_01_2009_2017_CO,28/10/2009,11, ,20
DATASET_01_2009_2017_CO,28/10/2009,12, ,33
DATASET_01_2009_2017_CO,28/10/2009,13, ,34
DATASET_01_2009_2017_CO,28/10/2009,14, ,35
DATASET_01_2009_2017_CO,28/10/2009,15, ,30
DATASET_01_2009_2017_CO,28/10/2009,16, ,38
DATASET_01_2009_2017_CO,28/10/2009,17, ,34
DATASET_01_2009_2017_CO,28/10/2009,18, ,39
DATASET_01_2009_2017_CO,28/10/2009,19, ,46
DATASET_01_2009_2017_CO,28/10/2009,20, ,46
DATASET_01_2009_2017_CO,28/10/2009,21, ,43
DATASET_01_2009_2017_CO,28/10/2009,22, ,41
DATASET_01_2009_2017_CO,28/10/2009,23, ,38
DATASET_01_2009_2017_CO,28/10/2009,24, ,35
DATASET_01_2009_2017_CO,01/11/2009,13, ,19
